轮次,损失_D,损失_G,得分_D,得分_G,PSNR,SSIM
41,0.5750644774256425,0.004633649174724461,0.678761600033852,0.2544126974463762,24.780678999605815,0.7121484369039536
42,0.5610626847570024,0.004718223725856086,0.6716195935605566,0.22996862429003825,24.766741126896928,0.7112443547499807
43,0.5565789992257305,0.00478266964347935,0.6763649361173752,0.22809435603858869,24.80172581563361,0.7135141215826336
44,0.5522251818570973,0.0046971669011308175,0.680563869948197,0.2327829966384515,24.788134005811223,0.7129451378395683
45,0.5571881934462832,0.00471149473052815,0.6743768692087148,0.22427801563535102,24.798671869872436,0.7126636989806828
46,0.5735992056552507,0.004675723672875105,0.6771590734763601,0.2565315506695475,24.79186067271266,0.7118087638365594
47,0.5587689876239235,0.004847524481255708,0.6854919661593176,0.23888329025908075,24.784175099681423,0.7120438277721405
48,0.5475868131397422,0.004724193314323202,0.6867009577744908,0.2361476205132781,24.784104183345555,0.7120586106651707
49,0.5423928094272146,0.004707729920505938,0.6916920612594281,0.24023682156907045,24.806482601954407,0.7137325352744053
50,0.5575544118619147,0.004760904765908459,0.6810221317974472,0.22578703353108523,24.790348749358806,0.7120157282603414
51,0.5645036719126353,0.00461900059029607,0.6653222241798725,0.2415048598862786,24.748458434945697,0.710039980317417
52,0.5583538594751519,0.004769512194907293,0.6787502392750707,0.23886468928716492,24.814886856554622,0.713949001933399
53,0.5577678620430502,0.0047347167716361585,0.6826012063415781,0.24723412092084915,24.800844828528273,0.7131050180447729
54,0.5721903097801809,0.004676287407606938,0.6729882309553882,0.24612466495470225,24.808416447342676,0.713390052789136
55,0.5473445442747354,0.004702508883783593,0.6897002422077051,0.23992766420936287,24.786010592961162,0.7115594685077667
56,0.5560588375091896,0.0047062107844976706,0.6949143904835576,0.2559643486869821,24.781253356943704,0.7113682182211625
57,0.5528410409079958,0.00468556735183627,0.6952456042811866,0.24580607950215005,24.781333135032256,0.7116816186591198
58,0.5550346120056058,0.004678668860027469,0.6881238471787495,0.24605705764275018,24.7984804604781,0.7136443790636564
59,0.5663643947760726,0.004682675020671204,0.6822374298896036,0.25370024992904133,24.784196242215863,0.7113474254545412
